address,end
0x080000c0,0x080000F4
0x08000104,0x080001CC
0x080001d0,0x0800020C
0x08000210,0x0800035C
0x080003a8,0x080005A0
0x080005ac,0x080006A2
0x080006d0,0x080006EC
0x080006ec,0x08000712
0x08000724,0x08000768
0x08000778,0x080007E2
0x080007fc,0x08000A0E
0x08000a2c,0x08000CAE
0x08000cf4,0x08000DF4
0x08000e04,0x08001448
0x08001476,0x08001480
0x080014a8,0x08001610
0x08001614,0x080016C4
0x080016c4,0x08001860
0x0800186c,0x08001B04
0x08001b0c,0x0800242A
0x08002442,0x080026BE
0x08002700,0x08002908
0x0800290c,0x08003126
0x08003142,0x0800320E
0x08003220,0x08003322
0x08003338,0x0800336A
0x08003370,0x080033AC
0x080033b4,0x0800340E
0x08003414,0x08003428
0x08003428,0x08003476
0x08003488,0x080034E4
0x080034f0,0x080036D2
0x080036dc,0x08003D14
0x080040fa,0x080043C4
0x08004434,0x08004444
0x0800444c,0x080047DE
0x080047e0,0x0800486A
0x0800486c,0x08005108
0x08005110,0x080051D6
0x080052e8,0x080052F8
0x08005310,0x08005974
0x0800597c,0x08006126
0x08006134,0x080066CA
0x080066d8,0x0800673C
0x0800673c,0x080069A4
0x080069ac,0x08006E56
0x08006e64,0x08006FF2
0x08006ff4,0x080074A8
0x080074a8,0x0800766A
0x08007670,0x0800770E
0x080077f4,0x08007E24
0x08007e24,0x08007E68
0x08007e9c,0x08007EC2
0x08007ec8,0x08007F50
0x08007fb0,0x08008864
0x0800964c,0x08009662
0x08009722,0x08009F74
0x0800aa10,0x0800AA32
0x0800aaf2,0x0800AB32
0x0800abb2,0x0800ABF2
0x0800b084,0x0800B08C
0x0800b098,0x0800B0B2
0x0800baa4,0x0800BAAA
0x0800baac,0x0800BB7A
0x0800bb88,0x0800C030
0x0800c036,0x0800C1B6
0x0800c1c8,0x0800C724
0x0800c728,0x0800C7C2
0x0800cb02,0x0800CBAC
0x0800ce3e,0x0800CEBA
0x0800cec8,0x0800CF48
0x0800d20a,0x0800EAEC
0x0800eaec,0x0800F024
0x0800f024,0x0800F0A4
0x0800f0ac,0x0800F3B2
0x0800f3c4,0x0800F460
0x0800f4e4,0x0800F4FC
0x0800f512,0x0800F5AA
0x0800f5bc,0x0800F9BE
0x0800f9c0,0x0800FA2C
0x0800fa68,0x0800FD7E
0x0800fd8c,0x0800FDC0
0x0800fdc8,0x0800FDE4
0x0800fdea,0x0800FF10
0x0801027a,0x08010408
0x0801085e,0x0801092E
0x08010944,0x08010AD6
0x08010b00,0x08010B06
0x08010b0c,0x08010D82
0x08010e0c,0x08010E1C
0x08010f10,0x08010FA4
0x08011000,0x08011054
0x080110f0,0x08011560
0x08011c2c,0x08011C38
0x08011c7c,0x08011E1E
0x08011e22,0x08011F36
0x080120c8,0x080121E6
0x080122dc,0x080123BE
0x08012468,0x080125D0
0x080125dc,0x080127CC
0x080127d0,0x08012B5C
0x08012b60,0x08012B90
0x08012b98,0x08012BBC
0x08013100,0x08013108
0x0801311e,0x080131FC
0x08013214,0x08013252
0x080135f4,0x08014D14
0x08014e7e,0x08014F74
0x08015000,0x08015368
0x08015370,0x08015384
0x08015384,0x080153DE
0x080153e0,0x08015494
0x08015498,0x08015844
0x0801584c,0x08015852
0x08015858,0x080158C0
0x080158c0,0x080158E2
0x080158e4,0x08015912
0x08015924,0x08015E20
0x08015e30,0x08015F36
0x08015f40,0x08015F52
0x08015f58,0x08015F66
0x08015f6c,0x08015FA0
0x08015fa4,0x0801605E
0x08016078,0x08016356
0x080163c0,0x08016432
0x08016438,0x08016676
0x08016684,0x08016924
0x0801694c,0x08016A34
0x08016a44,0x08016B1E
0x08016b30,0x08016B54
0x0801700a,0x08017014
0x080175aa,0x080175C6
0x080175d4,0x08017684
0x08017690,0x080176DE
0x080176e4,0x080177AC
0x080177b8,0x080178CA
0x080178d0,0x0801795A
0x08017964,0x080179C6
0x080179d0,0x08017A80
0x08017b74,0x08017C3C
0x08017c5c,0x08017C6C
0x08017c74,0x08017CA2
0x08017cb0,0x08017CCE
0x08017cd8,0x08017CEA
0x08017cf4,0x08017D56
0x08017d58,0x08017D74
0x08017d78,0x08017DE2
0x08017de8,0x08017E56
0x08017e5c,0x08017ECA
0x08017ed0,0x08017EE0
0x08017eec,0x08017EF8
0x08017f00,0x08017F2C
0x08017f34,0x08017F50
0x08017f58,0x08017F62
0x08017f6c,0x08017F76
0x08017f80,0x08017FAC
0x08017fb0,0x08017FF8
0x08018004,0x08018084
0x0801808c,0x080180D0
0x080180d4,0x080180EA
0x080180f0,0x0801816C
0x0801816c,0x080181F2
0x08018204,0x08018242
0x0801824c,0x0801829A
0x080182ac,0x080182D8
0x080182e4,0x080182FA
0x08018300,0x08018312
0x08018318,0x08018384
0x08018390,0x08018398
0x0801839c,0x080183BA
0x080183c4,0x080183CA
0x080183d0,0x08018406
0x08018410,0x0801842E
0x08018444,0x080184AA
0x080184c8,0x08018504
0x08018530,0x08018564
0x0801856c,0x080185A8
0x080185a8,0x080185C8
0x080185cc,0x080185D6
0x080185d8,0x0801863E
0x08018654,0x08018662
0x08018664,0x08018666
0x08018668,0x08018674
0x08018678,0x0801870E
0x08018730,0x0801886C
0x0801886c,0x0801890A
0x08018918,0x08018A8C
0x08018a8c,0x08018B1A
