address,name,mode,confidence
0x080000C0,start_vector,arm,public-crt0-order+arm-semantics+exact-body
0x08000104,IntrMain,arm,public-crt0-order+arm-semantics+exact-body
0x080001D0,MultiSioRecvBufChange,arm,public-multisio-abi+exact-arm-semantics+exact-body
0x08000210,FUN_08000210,thumb,known-entry+rom-pointer+exact-body
0x080003A8,FUN_080003a8,thumb,rom-pointer+exact-body
0x080005AC,FUN_080005ac,thumb,direct-call+exact-body
0x080006D0,FUN_080006d0,thumb,direct-call+exact-body
0x080006EC,FUN_080006ec,thumb,rom-pointer+exact-body
0x08000724,FUN_08000724,thumb,rom-pointer+exact-body
0x08000778,AgbMain,thumb,crt0-pointer+public-linker-order+exact-body
0x080007FC,FUN_080007fc,thumb,direct-call
0x08000A2C,FUN_08000a2c,thumb,direct-call
0x08000CF4,FUN_08000cf4,thumb,direct-call+exact-body
0x08000E04,FUN_08000e04,thumb,direct-call
0x080016C4,FUN_080016c4,thumb,direct-call+exact-body
0x0800186C,FUN_0800186c,thumb,direct-call
0x08001B0C,FUN_08001b0c,thumb,direct-call
0x0800290C,FUN_0800290c,thumb,rom-pointer+direct-call
0x080034F0,FUN_080034f0,thumb,direct-call+exact-body
0x080036DC,FUN_080036dc,thumb,direct-call
0x080040FA,FUN_080040fa,thumb,direct-call
0x0800444C,FUN_0800444c,thumb,direct-call
0x0800486C,FUN_0800486c,thumb,direct-call
0x08005310,FUN_08005310,thumb,direct-call
0x0800597C,FUN_0800597c,thumb,direct-call
0x08006134,FUN_08006134,thumb,direct-call
0x080066D8,FUN_080066d8,thumb,direct-call
0x0800673C,FUN_0800673c,thumb,direct-call
0x080069AC,FUN_080069ac,thumb,direct-call
0x08006E64,FUN_08006e64,thumb,direct-call
0x08006FF4,FUN_08006ff4,thumb,direct-call
0x080074A8,FUN_080074a8,thumb,direct-call
0x08007670,FUN_08007670,thumb,rom-pointer
0x080077F4,FUN_080077f4,thumb,rom-pointer
0x08007E24,FUN_08007e24,thumb,direct-call+exact-body
0x08007E9C,FUN_08007e9c,thumb,direct-call+exact-body
0x08007EC8,FUN_08007ec8,thumb,direct-call
0x08007FB0,FUN_08007fb0,thumb,rom-pointer
0x0800964C,FUN_0800964c,thumb,direct-call
0x08009722,FUN_08009722,thumb,rom-pointer
0x0800AA10,FUN_0800aa10,thumb,rom-pointer
0x0800AAF2,FUN_0800aaf2,thumb,rom-pointer
0x0800ABB2,FUN_0800abb2,thumb,rom-pointer
0x0800B084,FUN_0800b084,thumb,direct-call
0x0800B098,FUN_0800b098,thumb,direct-call
0x0800BAA4,FUN_0800baa4,thumb,direct-call
0x0800BAAC,FUN_0800baac,thumb,direct-call+exact-body
0x0800BB88,FUN_0800bb88,thumb,direct-call
0x0800C036,FUN_0800c036,thumb,rom-pointer
0x0800C1C8,FUN_0800c1c8,thumb,direct-call
0x0800C728,FUN_0800c728,thumb,direct-call
0x0800CB02,FUN_0800cb02,thumb,rom-pointer
0x0800CE3E,FUN_0800ce3e,thumb,rom-pointer
0x0800CEC8,FUN_0800cec8,thumb,direct-call
0x0800D20A,FUN_0800d20a,thumb,rom-pointer
0x0800EAEC,FUN_0800eaec,thumb,direct-call
0x0800F024,FUN_0800f024,thumb,direct-call
